id,symbol,date,rsi,volume_spike,sentiment_score,buy_score,recommendation,notes,created_at
1,AIRLINK,2026-01-23,,0,0.073,6,BUY,Limited technical data available.,2026-01-22 19:39:52
2,FFC,2026-01-23,,0,0.001,6,BUY,Limited technical data available.,2026-01-22 19:39:52
3,GLAXO,2026-01-23,,0,0.053,6,BUY,Limited technical data available.,2026-01-22 19:39:52
4,HBL,2026-01-23,,0,0.014,6,BUY,Limited technical data available.,2026-01-22 19:39:52
5,LUCK,2026-01-23,,0,0.081,6,BUY,Limited technical data available.,2026-01-22 19:39:52
6,MARI,2026-01-23,,0,0.065,6,BUY,Limited technical data available.,2026-01-22 19:39:52
7,MCB,2026-01-23,,0,0.06,6,BUY,Limited technical data available.,2026-01-22 19:39:52
8,MTL,2026-01-23,,0,0.028,6,BUY,Limited technical data available.,2026-01-22 19:39:52
9,NESTLE,2026-01-23,,0,0.095,6,BUY,Limited technical data available.,2026-01-22 19:39:52
10,OGDC,2026-01-23,,0,0.013,6,BUY,Limited technical data available.,2026-01-22 19:39:52
11,PPL,2026-01-23,,0,0.033,6,BUY,Limited technical data available.,2026-01-22 19:39:52
12,PSO,2026-01-23,,0,0.023,6,BUY,Limited technical data available.,2026-01-22 19:39:52
13,SAZEW,2026-01-23,,0,0.065,6,BUY,Limited technical data available.,2026-01-22 19:39:52
14,UBL,2026-01-23,,0,0.049,6,BUY,Limited technical data available.,2026-01-22 19:39:52
29,786,2026-01-23,,0,-0.02,6,BUY,Limited technical data available.,2026-01-22 20:53:04
30,786R,2026-01-23,,0,0.0,6,BUY,Limited technical data available.,2026-01-22 20:53:04
31,AABS,2026-01-23,,0,0.183,6,BUY,Limited technical data available.,2026-01-22 20:53:04
32,AAL,2026-01-23,,0,-0.018,6,BUY,Limited technical data available.,2026-01-22 20:53:04
33,AASM,2026-01-23,,0,0.032,6,BUY,Limited technical data available.,2026-01-22 20:53:04
34,AATM,2026-01-23,,0,0.003,6,BUY,Limited technical data available.,2026-01-22 20:53:04
35,ABL,2026-01-23,,0,0.028,6,BUY,Limited technical data available.,2026-01-22 20:53:04
36,ABOT,2026-01-23,,0,0.0,6,BUY,Limited technical data available.,2026-01-22 20:53:04
37,ABSON,2026-01-23,,0,0.0,6,BUY,Limited technical data available.,2026-01-22 20:53:04
38,ACIETF,2026-01-23,,0,0.0,6,BUY,Limited technical data available.,2026-01-22 20:53:04
39,ACPL,2026-01-23,,0,0.026,6,BUY,Limited technical data available.,2026-01-22 20:53:04
40,ADAMS,2026-01-23,,0,0.109,6,BUY,Limited technical data available.,2026-01-22 20:53:04
41,ADMM,2026-01-23,,0,0.027,6,BUY,Limited technical data available.,2026-01-22 20:53:04
42,AGHA,2026-01-23,,0,0.037,6,BUY,Limited technical data available.,2026-01-22 20:53:04
43,AGIC,2026-01-23,,0,0.142,6,BUY,Limited technical data available.,2026-01-22 20:53:04
44,AGICR2,2026-01-23,,0,0.0,6,BUY,Limited technical data available.,2026-01-22 20:53:04
45,AGIL,2026-01-23,,0,0.158,6,BUY,Limited technical data available.,2026-01-22 20:53:04
46,AGL,2026-01-23,,0,-0.044,6,BUY,Limited technical data available.,2026-01-22 20:53:04
47,AGLNCPS,2026-01-23,,0,0.0,6,BUY,Limited technical data available.,2026-01-22 20:53:04
48,AGP,2026-01-23,,0,0.126,6,BUY,Limited technical data available.,2026-01-22 20:53:04
49,AGSML,2026-01-23,,0,0.007,6,BUY,Limited technical data available.,2026-01-22 20:53:04
50,AGTL,2026-01-23,,0,0.0,6,BUY,Limited technical data available.,2026-01-22 20:53:04
51,AHCL,2026-01-23,,0,-0.021,6,BUY,Limited technical data available.,2026-01-22 20:53:04
52,AHL,2026-01-23,,0,-0.023,6,BUY,Limited technical data available.,2026-01-22 20:53:04
53,AHTM,2026-01-23,,0,0.038,6,BUY,Limited technical data available.,2026-01-22 20:53:04
54,AICL,2026-01-23,,0,0.034,6,BUY,Limited technical data available.,2026-01-22 20:53:04
56,AKBL,2026-01-23,,0,0.021,6,BUY,Limited technical data available.,2026-01-22 20:53:04
57,AKDHL,2026-01-23,,0,-0.045,6,BUY,Limited technical data available.,2026-01-22 20:53:04
58,AKDSL,2026-01-23,,0,0.029,6,BUY,Limited technical data available.,2026-01-22 20:53:04
59,AKGL,2026-01-23,,0,0.024,6,BUY,Limited technical data available.,2026-01-22 20:53:04
60,ALAC,2026-01-23,,0,0.044,6,BUY,Limited technical data available.,2026-01-22 20:53:05
61,ALIFE,2026-01-23,,0,0.076,6,BUY,Limited technical data available.,2026-01-22 20:53:05
