id,symbol,date,open_price,high_price,low_price,close_price,volume,created_at
1,AIRLINK,2026-01-23,187.5,191.9,186.05,189.6,2737493,2026-01-22 19:38:03
2,FFC,2026-01-23,600.0,600.0,596.29,596.89,352598,2026-01-22 19:38:07
3,GLAXO,2026-01-23,435.0,435.0,422.0,432.48,34702,2026-01-22 19:38:11
4,HBL,2026-01-23,348.0,350.49,347.11,347.3,154941,2026-01-22 19:38:14
5,LUCK,2026-01-23,494.98,497.0,491.0,491.1,193203,2026-01-22 19:38:19
6,MARI,2026-01-23,739.0,739.0,732.0,733.0,323334,2026-01-22 19:38:23
7,MCB,2026-01-23,416.49,421.95,415.5,420.0,132373,2026-01-22 19:38:26
8,MTL,2026-01-23,534.48,535.89,529.99,529.99,76228,2026-01-22 19:38:30
9,NESTLE,2026-01-23,7990.0,8000.0,7988.0,7990.0,301,2026-01-22 19:38:33
10,OGDC,2026-01-23,332.55,335.0,330.27,330.5,815492,2026-01-22 19:38:37
11,PPL,2026-01-23,275.2,276.0,274.0,275.14,1078962,2026-01-22 19:38:41
12,PSO,2026-01-23,494.05,495.48,490.11,491.49,537413,2026-01-22 19:38:45
13,SAZEW,2026-01-23,1990.0,1998.0,1964.04,1965.0,88969,2026-01-22 19:38:48
14,UBL,2026-01-23,486.76,490.25,481.75,482.89,630963,2026-01-22 19:38:52
29,786,2026-01-23,12.97,12.97,12.0,12.37,7437,2026-01-22 19:52:46
30,786R,2026-01-23,2.64,2.77,2.25,2.47,198112,2026-01-22 19:52:50
31,AABS,2026-01-23,1020.0,1038.0,1020.0,1036.99,102,2026-01-22 19:52:53
32,AASM,2026-01-23,3.0,3.5,3.0,3.49,14500,2026-01-22 19:53:00
33,AATM,2026-01-23,40.51,44.56,40.51,44.56,25974,2026-01-22 19:53:03
34,ABL,2026-01-23,205.62,208.44,204.01,205.99,8405,2026-01-22 19:53:06
35,ABOT,2026-01-23,1198.5,1200.0,1195.0,1195.95,1970,2026-01-22 19:53:09
36,ACIETF,2026-01-23,20.0,20.0,19.85,19.85,17000,2026-01-22 19:53:16
37,ACPL,2026-01-23,277.0,288.0,275.0,285.05,125009,2026-01-22 19:53:19
38,ADAMS,2026-01-23,75.02,82.5,75.02,81.5,256,2026-01-22 19:53:21
39,ADMM,2026-01-23,62.8,62.8,60.36,60.82,7988,2026-01-22 19:53:23
40,AGHA,2026-01-23,8.8,8.83,8.75,8.77,571662,2026-01-22 19:53:27
41,AGIC,2026-01-23,39.0,39.5,38.96,39.0,15927,2026-01-22 19:53:31
42,AGICR2,2026-01-23,5.65,6.63,5.4,5.92,350180,2026-01-22 19:53:34
43,AGIL,2026-01-23,189.88,191.0,184.15,188.45,1621,2026-01-22 19:53:37
44,AGL,2026-01-23,70.01,70.87,70.0,70.7,92980,2026-01-22 19:53:39
45,AGLNCPS,2026-01-23,35.0,35.0,28.7,35.0,405,2026-01-22 19:53:43
46,AGP,2026-01-23,228.0,228.0,221.11,222.0,55942,2026-01-22 19:53:46
47,AGSML,2026-01-23,10.99,11.14,10.21,10.98,871808,2026-01-22 19:53:49
48,AGTL,2026-01-23,427.0,429.0,425.0,428.28,12121,2026-01-22 19:53:52
49,AHCL,2026-01-23,18.8,19.32,18.51,18.91,16553224,2026-01-22 19:53:56
50,AHL,2026-01-23,115.01,117.0,115.0,117.0,19933,2026-01-22 19:53:59
51,AHTM,2026-01-23,81.0,86.0,80.02,80.02,73,2026-01-22 19:54:02
52,AICL,2026-01-23,121.51,122.0,118.0,119.04,31283,2026-01-22 19:54:05
54,AKBL,2026-01-23,125.1,125.45,123.8,124.62,232464,2026-01-22 19:54:12
55,AKDHL,2026-01-23,175.48,175.49,175.48,175.49,75,2026-01-22 19:54:14
56,AKDSL,2026-01-23,40.72,40.72,40.2,40.42,21299,2026-01-22 19:54:18
57,AKGL,2026-01-23,60.24,64.0,60.24,60.24,20,2026-01-22 19:54:21
58,ALAC,2026-01-23,15.0,15.7,15.0,15.6,262513,2026-01-22 19:54:25
59,ALIFE,2026-01-23,39.0,39.0,35.04,38.97,8817,2026-01-22 19:54:28
60,ALNRS,2026-01-23,125.0,126.0,125.0,125.0,31,2026-01-22 19:54:31
61,ALTN,2026-01-23,11.27,11.27,11.1,11.13,54261,2026-01-22 19:54:34
62,AMBL,2026-01-23,11.18,11.89,11.18,11.88,998,2026-01-22 19:54:38
63,AMTEX,2026-01-23,4.7,4.96,4.67,4.8,1581003,2026-01-22 19:54:43
64,ANL,2026-01-23,12.1,12.1,11.9,12.03,75409,2026-01-22 19:54:46
65,ANSM,2026-01-23,14.89,14.89,14.89,14.89,1,2026-01-22 19:54:56
66,ANTM,2026-01-23,32.0,32.04,31.0,32.04,338,2026-01-22 19:54:59
67,APL,2026-01-23,603.0,633.0,598.02,621.0,201709,2026-01-22 19:55:02
68,ARCTM,2026-01-23,29.11,30.5,29.11,30.5,21,2026-01-22 19:55:08
69,ARPAK,2026-01-23,70.65,72.0,68.0,68.0,1823,2026-01-22 19:55:11
70,ARPL,2026-01-23,439.98,440.0,436.3,438.99,11610,2026-01-22 19:55:15
71,ARUJ,2026-01-23,11.76,11.99,11.3,11.74,4791,2026-01-22 19:55:18
72,ASC,2026-01-23,12.83,13.2,12.71,12.9,937972,2026-01-22 19:55:21
73,ASHT,2026-01-23,21.0,21.0,21.0,21.0,2500,2026-01-22 19:55:24
74,ASIC,2026-01-23,20.0,20.0,17.0,17.0,2,2026-01-22 19:55:26
75,ASL,2026-01-23,14.0,14.2,13.78,13.86,3078823,2026-01-22 19:55:29
76,ASLCPS,2026-01-23,90.0,90.0,83.01,83.01,2,2026-01-22 19:55:32
77,ASLPS,2026-01-23,16.23,19.82,16.22,18.0,1091,2026-01-22 19:55:34
78,ASTL,2026-01-23,23.45,23.5,22.03,22.36,2585482,2026-01-22 19:55:37
79,ASTM,2026-01-23,19.5,19.5,19.5,19.5,50,2026-01-22 19:55:41
80,ATBA,2026-01-23,239.06,241.59,239.02,240.94,1432,2026-01-22 19:55:44
81,ATIL,2026-01-23,82.5,82.5,80.09,82.0,13553,2026-01-22 19:55:47
82,ATLH,2026-01-23,1905.19,1926.0,1870.0,1897.0,1747,2026-01-22 19:55:49
83,ATRL,2026-01-23,893.05,949.0,876.0,909.0,1807476,2026-01-22 19:55:53
84,AVN,2026-01-23,42.9,42.9,42.5,42.58,179178,2026-01-22 19:55:57
85,AWTX,2026-01-23,1270.0,1550.52,1270.0,1409.56,11,2026-01-22 19:55:59
86,BAFL,2026-01-23,125.1,125.1,122.0,124.38,95471,2026-01-22 19:56:06
87,BAFS,2026-01-23,290.0,290.0,290.0,290.0,100,2026-01-22 19:56:09
88,BAHL,2026-01-23,198.0,200.5,197.5,197.5,120105,2026-01-22 19:56:12
89,BAPL,2026-01-23,42.6,42.99,42.55,42.79,3151,2026-01-22 19:56:17
90,BATA,2026-01-23,1275.0,1275.0,1244.01,1244.02,344,2026-01-22 19:56:20
91,BBFL,2026-01-23,49.44,49.44,48.82,49.05,69104,2026-01-22 19:56:23
92,BCL,2026-01-23,93.02,93.58,90.51,91.3,14953,2026-01-22 19:56:26
93,BECO,2026-01-23,6.14,6.19,6.1,6.12,997239,2026-01-22 19:56:29
94,BELA,2026-01-23,93.0,98.36,88.5,98.36,7276,2026-01-22 19:56:32
95,BERG,2026-01-23,103.0,106.49,103.0,105.69,162440,2026-01-22 19:56:35
96,BFAGRO,2026-01-23,43.35,43.35,42.52,42.6,44021,2026-01-22 19:56:38
97,BFBIO,2026-01-23,161.0,161.99,158.19,159.0,273530,2026-01-22 19:56:41
98,BFMOD,2026-01-23,27.67,27.67,26.53,26.9,23973,2026-01-22 19:56:44
99,BGL,2026-01-23,14.86,15.55,14.86,15.34,3533308,2026-01-22 19:56:49
100,BHAT,2026-01-23,927.38,960.0,910.0,950.0,254,2026-01-22 19:56:52
101,BIFO,2026-01-23,189.9,189.9,185.0,186.1,22031,2026-01-22 19:56:55
102,BIPL,2026-01-23,33.02,33.02,32.65,32.7,163921,2026-01-22 19:57:00
103,BLUEX,2026-01-23,73.5,73.73,68.09,71.0,142019,2026-01-22 19:57:04
104,BML,2026-01-23,5.24,5.26,5.15,5.2,8412812,2026-01-22 19:57:07
105,BNL,2026-01-23,11.65,11.65,11.46,11.5,649961,2026-01-22 19:57:11
106,BNWM,2026-01-23,67.88,67.88,67.88,67.88,45,2026-01-22 19:57:15
107,BOK,2026-01-23,37.5,38.63,37.49,37.56,889,2026-01-22 19:57:17
108,BOP,2026-01-23,41.0,42.0,40.71,41.4,9962735,2026-01-22 19:57:20
109,BPL,2026-01-23,30.72,30.75,30.72,30.75,1510,2026-01-22 19:57:23
110,BRRG,2026-01-23,41.94,41.94,40.81,40.86,22533,2026-01-22 19:57:26
111,BTL,2026-01-23,346.0,346.25,345.0,346.25,3055,2026-01-22 19:57:30
112,BUXL,2026-01-23,165.0,169.0,164.0,164.0,8116,2026-01-22 19:57:32
113,BWCL,2026-01-23,522.01,525.99,522.01,524.0,3054,2026-01-22 19:57:36
114,BWHL,2026-01-23,225.98,240.0,222.5,233.98,202139,2026-01-22 19:57:39
115,CASH,2026-01-23,64.97,64.97,61.5,61.5,1505,2026-01-22 19:57:43
116,CCM,2026-01-23,50.0,50.0,50.0,50.0,10,2026-01-22 19:57:46
117,CENI,2026-01-23,58.91,59.47,58.5,58.5,909,2026-01-22 19:57:48
118,CEPB,2026-01-23,44.5,45.29,44.22,44.5,569571,2026-01-22 19:57:52
119,CFL,2026-01-23,50.5,60.04,50.5,54.58,69,2026-01-22 19:57:55
120,CHAS,2026-01-23,62.99,62.99,60.55,60.55,551,2026-01-22 19:57:58
121,CHBL,2026-01-23,12.13,12.5,12.0,12.0,95061,2026-01-22 19:58:02
122,CHCC,2026-01-23,333.0,334.87,333.0,333.79,2679,2026-01-22 19:58:05
123,CJPL,2026-01-23,14.5,14.5,14.14,14.48,512,2026-01-22 19:58:08
124,CLCPS,2026-01-23,3.6,3.79,3.6,3.74,71534,2026-01-22 19:58:11
125,CLOV,2026-01-23,57.45,60.86,57.45,60.86,1039144,2026-01-22 19:58:14
