Symbol,Company,Sector,Date,Close_Price,Change_%,Volume,Volume_Avg,Volume_Ratio,Day_High,Day_Low,RSI_14,RSI_Signal,SMA_20,SMA_50,MACD,MACD_Signal,Total_Score,Score_Grade,Technical_Score,Fundamental_Score,Sentiment_Score,Momentum_Score,Risk_Level,Recommendation,Target_Support,Target_Resistance
TPLP,TPLP,,2026-02-03,0,0,3259990,0,3259990.0,0,0,50,Neutral,0,0,0,Bearish,51,C-,10,28,5,10,Low,HOLD,11.5,12.8
SPCL,SPCL,,2026-02-03,0,0,143500,0,143500.0,0,0,50,Neutral,0,0,0,Bearish,49,D,10,28,3,10,Low,REDUCE,0.8,0.95
786,786,,2026-02-03,0,0,33244,0,33244.0,0,0,50,Neutral,0,0,0,Bearish,47,D,10,26,3,10,Low,REDUCE,11.21,12.97
AKDSL,AKDSL,,2026-02-03,0,0,1022840,0,1022840.0,0,0,50,Neutral,0,0,0,Bearish,47,D,10,26,3,10,Low,REDUCE,40.2,50.74
CYAN,CYAN,,2026-02-03,0,0,18163,0,18163.0,0,0,50,Neutral,0,0,0,Bearish,47,D,10,26,3,10,Low,REDUCE,44.5,47.95
FCEL,FCEL,,2026-02-03,0,0,363404,0,363404.0,0,0,50,Neutral,0,0,0,Bearish,47,D,10,26,3,10,Low,REDUCE,7.1,8.35
FCSC,FCSC,,2026-02-03,0,0,1161587,0,1161587.0,0,0,50,Neutral,0,0,0,Bearish,47,D,10,26,3,10,Low,REDUCE,5.9,6.95
IREIT,IREIT,,2026-02-03,0,0,331597,0,331597.0,0,0,50,Neutral,0,0,0,Bearish,47,D,10,26,3,10,Low,REDUCE,9.1,9.52
JSIL,JSIL,,2026-02-03,0,0,5204,0,5204.0,0,0,50,Neutral,0,0,0,Bearish,47,D,10,26,3,10,Low,REDUCE,39.0,45.0
MRNS,MRNS,,2026-02-03,0,0,18809,0,18809.0,0,0,50,Neutral,0,0,0,Bearish,47,D,10,26,3,10,Low,REDUCE,70.2,79.98
PINL,PINL,,2026-02-03,0,0,1101,0,1101.0,0,0,50,Neutral,0,0,0,Bearish,47,D,10,26,3,10,Low,REDUCE,8.65,10.35
RICL,RICL,,2026-02-03,0,0,39716,0,39716.0,0,0,50,Neutral,0,0,0,Bearish,47,D,10,26,3,10,Low,REDUCE,16.0,18.0
GEMPACRA,GEMPACRA,,2026-02-03,0,0,3342,0,3342.0,0,0,50,Neutral,0,0,0,Bearish,45,D,10,22,5,10,Low,REDUCE,36.02,40.7
JGICL,JGICL,,2026-02-03,0,0,36341,0,36341.0,0,0,50,Neutral,0,0,0,Bearish,45,D,10,22,5,10,Low,REDUCE,84.0,86.25
MCBIM,MCBIM,,2026-02-03,0,0,822,0,822.0,0,0,50,Neutral,0,0,0,Bearish,45,D,10,22,5,10,Low,REDUCE,232.0,239.95
TSBL,TSBL,,2026-02-03,0,0,2296206,0,2296206.0,0,0,50,Neutral,0,0,0,Bearish,45,D,10,24,3,10,Low,REDUCE,3.15,3.76
UDPL,UDPL,,2026-02-03,0,0,61928,0,61928.0,0,0,50,Neutral,0,0,0,Bearish,45,D,10,26,1,10,Low,REDUCE,122.1,136.0
AGIC,AGIC,,2026-02-03,0,0,3074,0,3074.0,0,0,50,Neutral,0,0,0,Bearish,44,D,10,22,4,10,Low,REDUCE,37.32,39.5
LSEVL,LSEVL,,2026-02-03,0,0,7743136,0,7743136.0,0,0,50,Neutral,0,0,0,Bearish,44,D,10,22,4,10,Low,REDUCE,6.9,11.7
AICL,AICL,,2026-02-03,0,0,220692,0,220692.0,0,0,50,Neutral,0,0,0,Bearish,43,D,10,22,3,10,Low,REDUCE,105.0,122.0
ASIC,ASIC,,2026-02-03,0,0,100,0,100.0,0,0,50,Neutral,0,0,0,Bearish,43,D,10,22,3,10,Low,REDUCE,17.0,20.0
ATIL,ATIL,,2026-02-03,0,0,2339,0,2339.0,0,0,50,Neutral,0,0,0,Bearish,43,D,10,22,3,10,Low,REDUCE,78.11,82.5
BECO,BECO,,2026-02-03,0,0,6472792,0,6472792.0,0,0,50,Neutral,0,0,0,Bearish,43,D,10,22,3,10,Low,REDUCE,5.65,6.19
BNL,BNL,,2026-02-03,0,0,1848322,0,1848322.0,0,0,50,Neutral,0,0,0,Bearish,43,D,10,22,3,10,Low,REDUCE,10.5,11.65
CENI,CENI,,2026-02-03,0,0,1857,0,1857.0,0,0,50,Neutral,0,0,0,Bearish,43,D,10,22,3,10,Low,REDUCE,55.0,61.38
CSAP,CSAP,,2026-02-03,0,0,460375,0,460375.0,0,0,50,Neutral,0,0,0,Bearish,43,D,10,22,3,10,Low,REDUCE,133.6,142.0
DEL,DEL,,2026-02-03,0,0,31013,0,31013.0,0,0,50,Neutral,0,0,0,Bearish,43,D,10,22,3,10,Low,REDUCE,21.0,24.5
EFUG,EFUG,,2026-02-03,0,0,10562,0,10562.0,0,0,50,Neutral,0,0,0,Bearish,43,D,10,22,3,10,Low,REDUCE,124.05,132.97
EWIC,EWIC,,2026-02-03,0,0,22,0,22.0,0,0,50,Neutral,0,0,0,Bearish,43,D,10,22,3,10,Low,REDUCE,42.27,46.5
GRR,GRR,,2026-02-03,0,0,224170,0,224170.0,0,0,50,Neutral,0,0,0,Bearish,43,D,10,22,3,10,Low,REDUCE,19.6,20.12
GRYL,GRYL,,2026-02-03,0,0,27496,0,27496.0,0,0,50,Neutral,0,0,0,Bearish,43,D,10,22,3,10,Low,REDUCE,20.25,24.5
HAFL,HAFL,,2026-02-03,0,0,11,0,11.0,0,0,50,Neutral,0,0,0,Bearish,43,D,10,22,3,10,Low,REDUCE,475.0,555.0
KOHE,KOHE,,2026-02-03,0,0,34967,0,34967.0,0,0,50,Neutral,0,0,0,Bearish,43,D,10,22,3,10,Low,REDUCE,16.51,17.39
NONS,NONS,,2026-02-03,0,0,6799,0,6799.0,0,0,50,Neutral,0,0,0,Bearish,43,D,10,22,3,10,Low,REDUCE,92.0,112.8
PABC,PABC,,2026-02-03,0,0,180170,0,180170.0,0,0,50,Neutral,0,0,0,Bearish,43,D,10,22,3,10,Low,REDUCE,118.51,127.89
